Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,10243236.620065155 
 01/02,,,10243236.620065155 
 01/03,,,10243236.620065155 
 01/04,,,10243236.620065155 
 01/05,,,1371139.5453498703 
 01/06,,,1371139.5453498703 
 01/07,,,10243236.620065155 
 01/08,,,10243236.620065155 
 01/09,,,10243236.620065155 
 01/10,,,10243236.620065155 
 01/11,,,10243236.620065155 
 01/12,,,1371139.5453498703 
 01/13,,,1371139.5453498703 
 01/14,,,10243236.620065155 
 01/15,,,10243236.620065155 
 01/16,,,10243236.620065155 
 01/17,,,10243236.620065155 
 01/18,,,10243236.620065155 
 01/19,,,1371139.5453498703 
 01/20,,,1371139.5453498703 
 01/21,,,10243236.620065155 
 01/22,,,10243236.620065155 
 01/23,,,10243236.620065155 
 01/24,,,10243236.620065155 
 01/25,,,10243236.620065155 
 01/26,,,1371139.5453498703 
 01/27,,,1371139.5453498703 
 01/28,,,10243236.620065155 
 01/29,,,10243236.620065155 
 01/30,,,10243236.620065155 
 01/31,1818881573.8999531,0.0,10243236.620065155 
 02/01,,,10243236.620065155 
 02/02,,,1371139.5453498703 
 02/03,,,1371139.5453498703 
 02/04,,,10243236.620065155 
 02/05,,,10243236.620065155 
 02/06,,,10243236.620065155 
 02/07,,,10243236.620065155 
 02/08,,,10243236.620065155 
 02/09,,,1371139.5453498703 
 02/10,,,1371139.5453498703 
 02/11,,,10243236.620065155 
 02/12,,,10243236.620065155 
 02/13,,,10243236.620065155 
 02/14,,,10243236.620065155 
 02/15,,,10243236.620065155 
 02/16,,,1371139.5453498703 
 02/17,,,1371139.5453498703 
 02/18,,,10243236.620065155 
 02/19,,,10243236.620065155 
 02/20,,,10243236.620065155 
 02/21,,,10243236.620065155 
 02/22,,,10243236.620065155 
 02/23,,,1371139.5453498703 
 02/24,,,1371139.5453498703 
 02/25,,,10243236.620065155 
 02/26,,,10243236.620065155 
 02/27,,,10243236.620065155 
 02/28,1179738570.1469033,0.0,10243236.620065155 
 03/01,,,10243236.620065155 
 03/02,,,1371139.5453498703 
 03/03,,,1371139.5453498703 
 03/04,,,10243236.620065155 
 03/05,,,10243236.620065155 
 03/06,,,10243236.620065155 
 03/07,,,10243236.620065155 
 03/08,,,10243236.620065155 
 03/09,,,1371139.5453498703 
 03/10,,,1371139.5453498703 
 03/11,,,10243236.620065155 
 03/12,,,10243236.620065155 
 03/13,,,10243236.620065155 
 03/14,,,10243236.620065155 
 03/15,,,10243236.620065155 
 03/16,,,1371139.5453498703 
 03/17,,,1371139.5453498703 
 03/18,,,10243236.620065155 
 03/19,,,10243236.620065155 
 03/20,,,10243236.620065155 
 03/21,,,10243236.620065155 
 03/22,,,10243236.620065155 
 03/23,,,1371139.5453498703 
 03/24,,,1371139.5453498703 
 03/25,,,10243236.620065155 
 03/26,,,10243236.620065155 
 03/27,,,10243236.620065155 
 03/28,,,10243236.620065155 
 03/29,,,10243236.620065155 
 03/30,,,1371139.5453498703 
 03/31,900480454.8961124,0.0,1371139.5453498703 
 04/01,,,10243236.620065155 
 04/02,,,10243236.620065155 
 04/03,,,10243236.620065155 
 04/04,,,10243236.620065155 
 04/05,,,10243236.620065155 
 04/06,,,1371139.5453498703 
 04/07,,,1371139.5453498703 
 04/08,,,10243236.620065155 
 04/09,,,10243236.620065155 
 04/10,,,10243236.620065155 
 04/11,,,10243236.620065155 
