Date/Time,Heating:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Electricity:Facility [J](Daily) 
 01/01,,,6399384.977889667 
 01/02,,,6399384.977889667 
 01/03,,,6399384.977889667 
 01/04,,,6399384.977889667 
 01/05,,,8595361.105484402 
 01/06,,,8595361.105484402 
 01/07,,,6399384.977889667 
 01/08,,,6399384.977889667 
 01/09,,,6399384.977889667 
 01/10,,,6399384.977889667 
 01/11,,,6399384.977889667 
 01/12,,,8595361.105484402 
 01/13,,,8595361.105484402 
 01/14,,,6399384.977889667 
 01/15,,,6399384.977889667 
 01/16,,,6399384.977889667 
 01/17,,,6399384.977889667 
 01/18,,,6399384.977889667 
 01/19,,,8595361.105484402 
 01/20,,,8595361.105484402 
 01/21,,,6399384.977889667 
 01/22,,,6399384.977889667 
 01/23,,,6399384.977889667 
 01/24,,,6399384.977889667 
 01/25,,,6399384.977889667 
 01/26,,,8595361.105484402 
 01/27,,,8595361.105484402 
 01/28,,,6399384.977889667 
 01/29,,,6399384.977889667 
 01/30,,,6399384.977889667 
 01/31,5319407580.050322,16387915.490622707,6399384.977889667 
 02/01,,,6399384.977889667 
 02/02,,,8595361.105484402 
 02/03,,,8595361.105484402 
 02/04,,,6399384.977889667 
 02/05,,,6399384.977889667 
 02/06,,,6399384.977889667 
 02/07,,,6399384.977889667 
 02/08,,,6399384.977889667 
 02/09,,,8595361.105484402 
 02/10,,,8595361.105484402 
 02/11,,,6399384.977889667 
 02/12,,,6399384.977889667 
 02/13,,,6399384.977889667 
 02/14,,,6399384.977889667 
 02/15,,,6399384.977889667 
 02/16,,,8595361.105484402 
 02/17,,,8595361.105484402 
 02/18,,,6399384.977889667 
 02/19,,,6399384.977889667 
 02/20,,,6399384.977889667 
 02/21,,,6399384.977889667 
 02/22,,,6399384.977889667 
 02/23,,,8595361.105484402 
 02/24,,,8595361.105484402 
 02/25,,,6399384.977889667 
 02/26,,,6399384.977889667 
 02/27,,,6399384.977889667 
 02/28,4341273119.043031,19114853.98590743,6399384.977889667 
 03/01,,,6399384.977889667 
 03/02,,,8595361.105484402 
 03/03,,,8595361.105484402 
 03/04,,,6399384.977889667 
 03/05,,,6399384.977889667 
 03/06,,,6399384.977889667 
 03/07,,,6399384.977889667 
 03/08,,,6399384.977889667 
 03/09,,,8595361.105484402 
 03/10,,,8595361.105484402 
 03/11,,,6399384.977889667 
 03/12,,,6399384.977889667 
 03/13,,,6399384.977889667 
 03/14,,,6399384.977889667 
 03/15,,,6399384.977889667 
 03/16,,,8595361.105484402 
 03/17,,,8595361.105484402 
 03/18,,,6399384.977889667 
 03/19,,,6399384.977889667 
 03/20,,,6399384.977889667 
 03/21,,,6399384.977889667 
 03/22,,,6399384.977889667 
 03/23,,,8595361.105484402 
 03/24,,,8595361.105484402 
 03/25,,,6399384.977889667 
 03/26,,,6399384.977889667 
 03/27,,,6399384.977889667 
 03/28,,,6399384.977889667 
 03/29,,,6399384.977889667 
 03/30,,,8595361.105484402 
 03/31,4088796299.8800273,24278600.692395277,8595361.105484402 
 04/01,,,6399384.977889667 
 04/02,,,6399384.977889667 
 04/03,,,6399384.977889667 
 04/04,,,6399384.977889667 
 04/05,,,6399384.977889667 
 04/06,,,8595361.105484402 
 04/07,,,8595361.105484402 
 04/08,,,6399384.977889667 
 04/09,,,6399384.977889667 
 04/10,,,6399384.977889667 
 04/11,,,6399384.977889667 
 04/12,,,6399384.977889667 
 04/13,,,8595361.105484402 
 04/14,,,8595361.105484402 
