level,parameter,category,output_variable,sensitivity_score,p_value,ci_lower,ci_upper,n_samples,elasticity,param_change,output_change,building_id,object_type,object_name,field_name,zone_name,interaction_type,avg_zone_param_change,avg_output_change,significance,confidence_level,time_slice,analysis_type
building,dhw*WATERHEATER:MIXED*MyDHW_0_WaterHeater*heater_efficiency,dhw,Zone Air System Sensible Heating Energy,7.839243684981208,0.05,0,0,1,-7.839243684981208,9.999999999999996,-78.39243684981206,4136733,WATERHEATER:MIXED,MyDHW_0_WaterHeater,heater_efficiency,,,,,,low,peak_months,modification
building,dhw*WATERHEATER:MIXED*MyDHW_0_WaterHeater*heater_efficiency,dhw,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,9.999999999999996,,4136733,WATERHEATER:MIXED,MyDHW_0_WaterHeater,heater_efficiency,,,,,,low,peak_months,modification
building,dhw*WATERHEATER:MIXED*MyDHW_0_WaterHeater*off_cycle_loss_coefficient,dhw,Zone Air System Sensible Heating Energy,2.7662546755131436,0.05,0,0,1,2.7662546755131436,-28.338835734735873,-78.39243684981206,4136733,WATERHEATER:MIXED,MyDHW_0_WaterHeater,off_cycle_loss_coefficient,,,,,,low,peak_months,modification
building,dhw*WATERHEATER:MIXED*MyDHW_0_WaterHeater*off_cycle_loss_coefficient,dhw,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-28.338835734735873,,4136733,WATERHEATER:MIXED,MyDHW_0_WaterHeater,off_cycle_loss_coefficient,,,,,,low,peak_months,modification
building,equipment*ELECTRICEQUIPMENT*Equip_ALL_ZONES*watts_per_area,equipment,Zone Air System Sensible Heating Energy,2.351747134005224,0.05,0,0,1,2.351747134005224,-33.333701449570015,-78.39243684981206,4136733,ELECTRICEQUIPMENT,Equip_ALL_ZONES,watts_per_area,,,,,,low,peak_months,modification
building,equipment*ELECTRICEQUIPMENT*Equip_ALL_ZONES*watts_per_area,equipment,Zone Air System Sensible Heating Energy,2.4939725694736814,0.05,0,0,1,2.4939725694736814,-34.00788661754451,-84.8147363699271,4136737,ELECTRICEQUIPMENT,Equip_ALL_ZONES,watts_per_area,,,,,,low,peak_months,modification
building,equipment*ELECTRICEQUIPMENT*Equip_ALL_ZONES*watts_per_area,equipment,Zone Air System Sensible Heating Energy,2.6444508465526306,0.05,0,0,1,2.6444508465526306,-35.894416795021286,-94.92102088010701,4136738,ELECTRICEQUIPMENT,Equip_ALL_ZONES,watts_per_area,,,,,,low,peak_months,modification
building,equipment*ELECTRICEQUIPMENT*Equip_ALL_ZONES*watts_per_area,equipment,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-33.333701449570015,,4136733,ELECTRICEQUIPMENT,Equip_ALL_ZONES,watts_per_area,,,,,,low,peak_months,modification
building,equipment*ELECTRICEQUIPMENT*Equip_ALL_ZONES*watts_per_area,equipment,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-34.00788661754451,,4136737,ELECTRICEQUIPMENT,Equip_ALL_ZONES,watts_per_area,,,,,,low,peak_months,modification
building,equipment*ELECTRICEQUIPMENT*Equip_ALL_ZONES*watts_per_area,equipment,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-35.894416795021286,,4136738,ELECTRICEQUIPMENT,Equip_ALL_ZONES,watts_per_area,,,,,,low,peak_months,modification
building,geometry*FENESTRATIONSURFACE:DETAILED*Zone1_FrontPerimeter_Wall_0 window*window_multiplier,geometry,Zone Air System Sensible Heating Energy,4.310976036624865,0.05,0,0,1,-4.310976036624865,18.184382419157867,-78.39243684981206,4136733,FENESTRATIONSURFACE:DETAILED,Zone1_FrontPerimeter_Wall_0 window,window_multiplier,,,,,,low,peak_months,modification
