ReportDataDictionaryIndex,Name,Units,Type,IndexGroup,KeyValue,ReportingFrequency,IsMeter,DataCount,Has_Data
1290,Cooling:EnergyTransfer,J,Sum,Facility:EnergyTransfer:Cooling,,Monthly,1,12,True
23,Electricity:Facility,J,Sum,Facility:Electricity,,Daily,1,365,True
1241,Heating:EnergyTransfer,J,Sum,Facility:EnergyTransfer:Heating,,Monthly,1,12,True
9,Site Diffuse Solar Radiation Rate per Area,W/m2,Avg,Zone,Environment,Monthly,0,12,True
7,Site Outdoor Air Drybulb Temperature,C,Avg,Zone,Environment,Monthly,0,12,True
8,Site Outdoor Air Relative Humidity,%,Avg,Zone,Environment,Monthly,0,12,True
978,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_CORE_CEILING,Monthly,0,12,True
975,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_CORE_FLOOR,Monthly,0,12,True
963,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_CORE_WALL_0,Monthly,0,12,True
966,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_CORE_WALL_1,Monthly,0,12,True
969,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_CORE_WALL_2,Monthly,0,12,True
972,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_CORE_WALL_3,Monthly,0,12,True
894,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_FRONTPERIMETER_CEILING,Monthly,0,12,True
891,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_FRONTPERIMETER_FLOOR,Monthly,0,12,True
879,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_FRONTPERIMETER_WALL_0,Monthly,0,12,True
882,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_FRONTPERIMETER_WALL_1,Monthly,0,12,True
885,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_FRONTPERIMETER_WALL_2,Monthly,0,12,True
888,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_FRONTPERIMETER_WALL_3,Monthly,0,12,True
956,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_LEFTPERIMETER_CEILING,Monthly,0,12,True
953,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_LEFTPERIMETER_FLOOR,Monthly,0,12,True
941,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_LEFTPERIMETER_WALL_0,Monthly,0,12,True
944,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_LEFTPERIMETER_WALL_1,Monthly,0,12,True
947,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_LEFTPERIMETER_WALL_2,Monthly,0,12,True
950,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_LEFTPERIMETER_WALL_3,Monthly,0,12,True
934,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_REARPERIMETER_CEILING,Monthly,0,12,True
931,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_REARPERIMETER_FLOOR,Monthly,0,12,True
919,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_REARPERIMETER_WALL_0,Monthly,0,12,True
922,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_REARPERIMETER_WALL_1,Monthly,0,12,True
925,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_REARPERIMETER_WALL_2,Monthly,0,12,True
928,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_REARPERIMETER_WALL_3,Monthly,0,12,True
916,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_RIGHTPERIMETER_CEILING,Monthly,0,12,True
913,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_RIGHTPERIMETER_FLOOR,Monthly,0,12,True
901,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_RIGHTPERIMETER_WALL_0,Monthly,0,12,True
904,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_RIGHTPERIMETER_WALL_1,Monthly,0,12,True
907,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_RIGHTPERIMETER_WALL_2,Monthly,0,12,True
910,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE1_RIGHTPERIMETER_WALL_3,Monthly,0,12,True
1077,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_CORE_FLOOR,Monthly,0,12,True
1080,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_CORE_ROOF,Monthly,0,12,True
1065,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_CORE_WALL_0,Monthly,0,12,True
1068,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_CORE_WALL_1,Monthly,0,12,True
1071,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_CORE_WALL_2,Monthly,0,12,True
1074,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_CORE_WALL_3,Monthly,0,12,True
993,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_FRONTPERIMETER_FLOOR,Monthly,0,12,True
996,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_FRONTPERIMETER_ROOF,Monthly,0,12,True
981,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_FRONTPERIMETER_WALL_0,Monthly,0,12,True
984,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_FRONTPERIMETER_WALL_1,Monthly,0,12,True
987,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_FRONTPERIMETER_WALL_2,Monthly,0,12,True
990,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_FRONTPERIMETER_WALL_3,Monthly,0,12,True
1055,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_LEFTPERIMETER_FLOOR,Monthly,0,12,True
1058,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_LEFTPERIMETER_ROOF,Monthly,0,12,True
1043,Surface Inside Face Conduction Heat Transfer Rate,W,Avg,Zone,ZONE2_LEFTPERIMETER_WALL_0,Monthly,0,12,True
